"Rank","Country","Forexres","Date","Change","Sources","newdate"
"1","China","3,115,000","07 October 2023","42,844","[1]","07 October 2023"
"2","Japan","1,238,000","31 October 2023","752","[2]","31 October 2023"
"3","Switzerland","876,985","31 August 2023","18,403","[3]","31 August 2023"
"4","India","595,397","17 November 2023","5,077","[4][b]","17 November 2023"
"5","Russia","581,200","17 November 2023","3,900","[5][c]","17 November 2023"
"6","Taiwan","564,010","31 September 2023","1,460","[6][d]","31 September 2023"
"7","Saudi Arabia","427,048","August 2023","115","[7]","August 2023"
"8","Hong Kong","418,365","31 August 2023","3,255","[8]","31 August 2023"
"9","South Korea","418,301","August 2023","3,503","[9]","August 2023"
"10","Brazil","344,177","August 2023","1,299","[10]","August 2023"
"11","Singapore","337,252","31 August 2023","3,542","[11]","31 August 2023"
"12","Germany","309,047","August 2023","2,285","[12]","August 2023"
"13","United States","240,324","22 September 2023","473","[13][e]","22 September 2023"
"14","France","238,277","October 2022","0,948","[14]","October 2022"
"15","Italy","234,034","June 2023","4,824","[15]","June 2023"
"16","Thailand","221,374","21 July 2023","572","[16]","21 July 2023"
"17","Mexico","204,984","November 2023","764","[17][18]","November 2023"
"18","Israel","202,865","August 2023","1,809","[19]","August 2023"
"19","United Kingdom","182,790","November 2022","6,686","[20][21][f]","November 2022"
"20","Poland","180,700","June 2023","5,321","[22]","June 2023"
"21","United Arab Emirates","151,600","June 2023","3,540","[23][g]","June 2023"
"22","Czech Republic","142,989","July 2023","1,516","[24]","July 2023"
"23","Indonesia","134,856","September 2023","2,234","[25][26]","September 2023"
"24","Turkey","134,500","23 November 2023","5,900","[27][h]","23 November 2023"
"25","Iraq","115,000","February 2023","19,000","[28]","February 2023"
"26","Malaysia","112,900","31 July 2023","1,100","[29]","31 July 2023"
"27","Canada","106,462","November 2022","2,686","[30]","November 2022"
"28","Philippines","101,091","September 2023","2,975","[31]","September 2023"
"29","Vietnam","92,101","August 2022","6,504","[32]","August 2022"
"30","Spain","87,229","30 June 2022","","[33][25]","30 June 2022"
"31","Iran","86,000","February 2020","","[34][i]","February 2020"
"—","European Union (ECB)","85,602","August 2021","0,801","[35][j]","August 2021"
"32","Algeria","85,345","March 2023","5,150","[36][37][32]","March 2023"
"33","Denmark","73,922","May 2022","0,315","[25][38]","May 2022"
"34","Peru","73,416","30 June 2022","3,000","[39][40]","30 June 2022"
"35","Norway","70,287","June 2022","2,843","[41][25]","June 2022"
"36","Libya","69,114","March 2022","0,665","[42][32]","March 2022"
"37","Romania","68,985","30 September 2023","3,930","[43][44]","30 September 2023"
"38","South Africa","61,296","May 2023","424","[45][32]","May 2023"
"39","Colombia","58,161","September 2021","0,124","[25]","September 2021"
